JUDUL BUKU,PENULIS/PENGARANG,PENERBIT,TANGGAL/BULAN/TAHUN PEROLEHAN,HARGA SATUAN,BARANG,HARGA TOTAL 
Membuat Batako,Sugeng Suprapto,Suara Media Sejahtera,3 JANUARI 2021,37.5,1,37.5
Mengenal Dunia,Yudha,Eka Cipta Sentosa,3 JANUARI 2021,35.0,2,70.0
Mengenal Pahlawan,Devi Andriana,Mitra Aksara Panaitan,3 JANUARI 2021,38.7,2,77.4
Mengenali dan Mengobati Penyakit,Djelita Aulia Hapsari,Karya Mandiri Nusantara,3 JANUARI 2021,34.5,2,69.0
Menggapai Kesuksesan Masa Depan ,"Suranto, ZHA, Khonsa Siswaya",Karya Mandiri Nusantara,3 JANUARI 2021,33.5,2,67.0
Menghindari Berbagai bencana alam,Hardjana Hp.,Karya Mandiri Nusantara,3 JANUARI 2021,33.3,2,66.6
Menuju Olimpiade Fisika,Cari,Mediatama,3 JANUARI 2021,98.2,1,98.2
Menuju Olimpiade Fisika,Cari,Mediatama,3 JANUARI 2021,102.0,1,102.0
Orang-Orang Belanda di Pintu Darurat,M. Unggul Wibowo,Mediatama,3 JANUARI 2021,34.5,2,69.0
Panduan Praktis Berbusana,Tita,Nobel Edumedia,3 JANUARI 2021,30.0,2,60.0
Pengetahuan tentang Mata Uang,Irwan Kusdinar,Sarana Panca Karya Nusa,3 JANUARI 2021,31.1,2,62.2
Perkembangan Masyarakat pada Masa Kerajaan Hindu Buddha serta Peninggalannya,Sucipto,Tiga Serangkai,3 JANUARI 2021,38.0,2,76.0
Pertolongan Pertama pada Penyakit 2,Nabila,Karya Mandiri Nusantara,3 JANUARI 2021,34.5,1,34.5
"Petunjuk Mendapatkan Lailatul Qodar ""disertai dengan Hadits Shahih""",Dr. Faruq Hamadah,Rahma Media Pustaka,3 JANUARI 2021,30.0,1,30.0
Pi;kades Sukses pembangunan Beres,Agus Wijatmoko,Mediatama,3 JANUARI 2021,37.5,1,37.5
PiLkades Sukses pembangunan Beres,Agus Wijatmoko,Mediatama,3 JANUARI 2021,37.5,1,37.5
Rambut Tipis Potongan Oval Trap Solusinya,Dra. Amik Kristanti; Drs. Khoirudin,Mediatama,3 JANUARI 2021,37.5,2,75.0
Referensi Matematika dalam Kehidupan Manusia 4,"Dr. Wahyudin; Drs. Sudrajat,M.Pd.",IPA Abong,3 JANUARI 2021,55.0,1,55.0
Sampah Itu Emas,Putri Lutfi Ifafah,Karya Mandiri Nusantara,3 JANUARI 2021,34.5,1,34.5
Sejarah Eropa,"Drs. Herimanto, M.Si",Mediatama,3 JANUARI 2021,40.0,1,40.0
Sejarah Eropa,"Drs. Herimanto, M.Si",Mediatama,3 JANUARI 2021,50.0,1,50.0
Sejarah Nenek Moyang Jawa,Radhita Subalidinata dan Bisri M. Djaelani,Suara Media Sejahtera,3 JANUARI 2021,37.5,2,75.0
Sejarah Perkembangan Islam,N. Abbas Wahid,Tiga Serangkai,3 JANUARI 2021,32.0,2,64.0
Selayang Pandang Gorontalo,Ir. Nugroho Yuananto,Intan Pariwara,3 JANUARI 2021,38.5,1,38.5
Selayang Pandang Gunung Lawu (Wisata dan Mitos),Suryo Domas Sri PB.,Mediatama,3 JANUARI 2021,33.5,3,100.5
Selayang Pandang Indonesiaku,"Drs. Warsito Adnan, M.Pd., Dra. Yuyunita, D.A., Drs. Purwanto J. Sulistiono",Tiga Serangkai,3 JANUARI 2021,38.0,1,38.0
Seri Akhlak Mulia VI : Hidup Berhias Ilmu,"Prof. Dr. Achmad Mubarok, M.A., dkk",Imperial Bhakti Utama,3 JANUARI 2021,36.3,1,36.3
Seri Pahlawan Nasional: RA Kartini,B.A. Saleh,Citra Praya,3 JANUARI 2021,38.0,2,76.0
Sumber Air Panas Sari Ater,Choirul Anwar,Mediatama,3 JANUARI 2021,37.5,2,75.0
Tanaman Obat Tradisional Jilid I,Sopandi,Sarana Panca Karya Nusa,3 JANUARI 2021,35.0,2,70.0
Terbang ke Angkasa Bersama Observatorium Bosscha,Keen Achroni,Mediatama,3 JANUARI 2021,30.0,2,60.0
Waspada Banjir dan Tanah Longsor 2,"Adcharina Pratiwi, Suparti",Karya Mandiri Nusantara,3 JANUARI 2021,37.5,2,75.0
Zamrud Khatulistiwa Indonesia,Nursanti Riandini,Bee Media Indonesia,3 JANUARI 2021,40.0,1,40.0
Zamrud Khatulistiwa Indonesia,Nursanti Riandini,Bee Media Indonesia,3 JANUARI 2021,50.0,1,50.0
Ziarah Makam Walisongo,Hardjana HP,Mediatama,3 JANUARI 2021,38.0,2,76.0
